单价,建筑面积,总楼层数,室数,厅数,卫数,区_encoded,板块_encoded,楼层位置_encoded,房屋朝向_encoded,装修情况_encoded,建筑类型_encoded,建筑结构_encoded,交易权属_encoded,房屋用途_encoded,配备电梯_encoded,产权所属_encoded,总价
32385.0,89.55,32,2,2,1,1,45,2,17,2,5,5,0,4,2,0,2900000.0
32870.0,117.13,18,3,2,2,8,89,2,17,3,5,5,0,4,2,0,3850000.0
19873.0,50.27,10,1,1,1,6,84,0,17,2,5,5,0,4,2,1,999000.0
21403.0,109.8,18,3,2,2,6,90,1,17,1,0,5,0,4,2,1,2350000.0
26299.0,120.92,7,3,1,2,8,3,1,17,2,4,5,2,4,0,1,3180000.0
21519.0,103.63,11,3,2,2,8,86,0,17,1,2,0,2,4,2,1,2230000.0
12028.0,69.01,34,2,1,1,8,44,0,13,3,5,5,0,2,2,1,830000.0
17334.0,89.42,18,2,1,1,1,45,2,17,0,2,0,0,4,1,1,1550000.0
29957.0,132.86,5,4,2,2,1,16,2,17,0,2,0,0,4,1,0,3980000.0
20017.0,84.43,17,2,1,1,9,75,1,17,0,4,5,0,4,2,0,1690000.0
8955.0,107.21,31,3,2,2,4,51,2,20,3,2,0,0,4,1,0,960000.0
18619.0,29.54,14,1,1,1,6,65,0,15,0,5,5,0,2,2,1,550000.0
15589.0,68.0,18,2,1,1,8,31,1,17,1,5,2,2,4,2,1,1060000.0
8750.0,93.72,18,2,2,1,4,51,2,17,0,4,5,0,4,2,1,820000.0
31970.0,115.11,15,3,2,2,6,70,0,17,3,2,0,0,4,1,1,3680000.0
8540.0,98.37,33,3,2,1,4,51,0,20,3,5,5,0,4,2,1,840000.0
18159.0,148.69,6,5,2,1,8,31,2,17,1,4,5,0,4,0,0,2700000.0
